completed_steps,coverage_mode,experiment_id,far_lambda,final_concentration_max,final_concentration_mean,final_covered_correct_group_probability,final_covered_expected_reward,final_covered_top1_group_accuracy,final_effective_support_mean,final_effective_support_p05,final_entropy_mean,final_expected_reward,final_gap_correct_group_probability,final_gap_expected_reward,final_gap_hidden_optimal_probability,final_gap_proxy_group_probability,final_gap_random_policy_reward,final_gap_top1_group_accuracy,final_gap_trap_group_probability,final_hidden_optimal_probability,final_paired_group_distribution_l1,final_random_policy_reward,gap_reward_margin_over_random_normalized,local_alpha,method,nan_inf_numerical_failure,paired_positive_only_gap_reward,run_key,scientific_status,seed,support_or_temperature_boundary,task_collapse_reference_missing,task_performance_collapse,terminal_class
8000,optimal_group_covered,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.6534241437911987,0.7424352765083313,0.94677734375,50.40147399902344,48.34095001220703,3.91524600982666,0.7424034476280212,0.6528244018554688,0.742371678352356,0.057143524289131165,0.17175960540771484,0.19078125059604645,0.94580078125,0.15172070264816284,0.05718415603041649,0.026736866682767868,0.19078125059604645,1.0,0.0,positive_only,False,0.742371678352356,optimal_group_covered__positive_only__a0__f0,not_run,131,False,False,False,formal_persistent_drift_or_inconclusive
8000,optimal_group_covered,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.3984009623527527,0.38020437955856323,0.1982421875,65.2061996459961,56.819053649902344,4.175835609436035,0.38070419430732727,0.39858299493789673,0.3812040090560913,0.01637585647404194,0.01346510834991932,0.19078125059604645,0.205078125,0.5588628053665161,0.016394415870308876,0.05051302909851074,0.19078125059604645,0.3452249148605111,0.5,local_only,False,0.742371678352356,optimal_group_covered__local_only__a0.5__f0,not_run,131,False,False,False,formal_terminal_plateau
8000,optimal_group_covered,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.05296111851930618,0.051279742270708084,0.01416015625,62.29815673828125,57.61906814575195,4.130430221557617,0.05216207355260849,0.055744320154190063,0.053044408559799194,0.0014971595956012607,0.0029898080974817276,0.19078125059604645,0.0166015625,0.6897798776626587,0.0014592085499316454,0.07460805028676987,0.19078125059604645,-0.24970854297910125,1.5,local_only,False,0.742371678352356,optimal_group_covered__local_only__a1.5__f0,not_run,131,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.6244745850563049,0.7297637462615967,0.91357421875,51.178382873535156,48.37603759765625,3.9299516677856445,0.6479300856590271,0.17746949195861816,0.5660963654518127,0.016074994578957558,0.6230926513671875,0.19078125059604645,0.03662109375,0.01136242225766182,0.03564244508743286,1.2116377353668213,0.19078125059604645,1.0,0.0,positive_only,False,0.5660963654518127,structured_gap__positive_only__a0__f0,not_run,131,False,False,False,formal_terminal_plateau
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.4663834571838379,0.45400819182395935,0.4755859375,61.59714126586914,53.454280853271484,4.117583751678467,0.6085077524185181,0.6066379547119141,0.7630072832107544,0.029661191627383232,0.31075888872146606,0.19078125059604645,0.763671875,0.05979403108358383,0.025042282417416573,1.0111114978790283,0.19078125059604645,1.5246549098738391,0.5,local_only,False,0.5660963654518127,structured_gap__local_only__a0.5__f0,not_run,131,False,False,False,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.05890485644340515,0.054789554327726364,0.01123046875,60.87664031982422,57.380802154541016,4.107297897338867,0.06830565631389618,0.08744974434375763,0.08182176947593689,0.0022476871963590384,0.002619597129523754,0.19078125059604645,0.02294921875,0.7449756860733032,0.0018854755908250809,0.15185323357582092,0.19078125059604645,-0.2903146630851324,1.5,local_only,False,0.5660963654518127,structured_gap__local_only__a1.5__f0,not_run,131,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.1595994085073471,0.14796259999275208,0.0302734375,59.434104919433594,56.53163146972656,4.083760738372803,0.1610778272151947,0.18758344650268555,0.17419303953647614,0.004273196682333946,0.004651293624192476,0.19078125059604645,0.04345703125,0.7389111518859863,0.003960549831390381,0.07570108771324158,0.19078125059604645,-0.044198089559876017,0.5,uncontrolled,False,0.5660963654518127,structured_gap__uncontrolled__a0.5__f4,not_run,131,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.2221495509147644,0.20647016167640686,0.05810546875,61.60701370239258,56.93226623535156,4.119335174560547,0.22931815683841705,0.2705203890800476,0.25216615200042725,0.0063882432878017426,0.0077521102502942085,0.19078125059604645,0.0810546875,0.676654040813446,0.005811347626149654,0.11705657839775085,0.19078125059604645,0.1635556335853168,0.5,near_zero,False,0.5660963654518127,structured_gap__near_zero__a0.5__f4,not_run,131,False,False,True,formal_terminal_plateau
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.20702700316905975,0.19283060729503632,0.04345703125,62.350929260253906,57.44288635253906,4.131240367889404,0.23736049234867096,0.3019647002220154,0.2818903625011444,0.007605571299791336,0.008296621032059193,0.19078125059604645,0.09619140625,0.649548351764679,0.006420783698558807,0.2156543731689453,0.19078125059604645,0.24275364433460458,0.5,far_cap,False,0.5660963654518127,structured_gap__far_cap__a0.5__f4,not_run,131,False,False,False,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.22292783856391907,0.20787623524665833,0.0517578125,62.69736099243164,57.3976936340332,4.136725425720215,0.2512866258621216,0.31558406352996826,0.2946970462799072,0.00785868614912033,0.009074714034795761,0.19078125059604645,0.11279296875,0.6378711462020874,0.006713395938277245,0.2032909095287323,0.19078125059604645,0.27687612774080694,0.5,budget_matched_global,False,0.5660963654518127,structured_gap__budget_matched_global__a0.5__f4,not_run,131,False,False,False,formal_persistent_drift_or_inconclusive
8000,optimal_group_covered,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.644310712814331,0.7251039147377014,0.939453125,50.71034240722656,48.352020263671875,3.9209816455841064,0.7243292331695557,0.6422136425971985,0.7235544919967651,0.05676392465829849,0.1578064262866974,0.19078126549720764,0.93603515625,0.1692953109741211,0.05684337392449379,0.03040177747607231,0.19078125059604645,1.0,0.0,positive_only,False,0.7235544919967651,optimal_group_covered__positive_only__a0__f0,not_run,132,False,False,False,formal_persistent_drift_or_inconclusive
8000,optimal_group_covered,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.4168364107608795,0.3993714451789856,0.2626953125,65.37014770507812,56.71754837036133,4.17800760269165,0.3985500633716583,0.415215402841568,0.39772868156433105,0.017060335725545883,0.01502129528671503,0.19078126549720764,0.25830078125,0.5370783805847168,0.017056459560990334,0.045316971838474274,0.19078125059604645,0.3884343389903721,0.5,local_only,False,0.7235544919967651,optimal_group_covered__local_only__a0.5__f0,not_run,132,False,False,False,formal_terminal_plateau
8000,optimal_group_covered,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.055234476923942566,0.05286422371864319,0.015625,62.25981903076172,57.61530685424805,4.129891395568848,0.05290335416793823,0.05559972673654556,0.05294249951839447,0.0014379192143678665,0.0032318108715116978,0.19078126549720764,0.015625,0.6889871954917908,0.0014350942801684141,0.040784187614917755,0.19078125059604645,-0.25871939339828603,1.5,local_only,False,0.7235544919967651,optimal_group_covered__local_only__a1.5__f0,not_run,132,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.6070829033851624,0.7069523930549622,0.8828125,52.00657272338867,48.40082550048828,3.943150043487549,0.6457717418670654,0.20876140892505646,0.5845910906791687,0.018998870626091957,0.6041911840438843,0.19078126549720764,0.0712890625,0.017231948673725128,0.03633956238627434,1.1501935720443726,0.19078125059604645,1.0,0.0,positive_only,False,0.5845910906791687,structured_gap__positive_only__a0__f0,not_run,132,False,False,False,formal_terminal_plateau
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.43808239698410034,0.42211294174194336,0.35693359375,61.9831428527832,52.86479568481445,4.123495101928711,0.5958335399627686,0.6152411699295044,0.7695541381835938,0.030039777979254723,0.30851423740386963,0.19078126549720764,0.81396484375,0.05312482267618179,0.024537164717912674,1.077440619468689,0.19078125059604645,1.469676061075831,0.5,local_only,False,0.5845910906791687,structured_gap__local_only__a0.5__f0,not_run,132,False,False,False,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.064301997423172,0.06138114631175995,0.01904296875,61.05802536010742,57.38247299194336,4.110250473022461,0.07670106738805771,0.09670582413673401,0.09202097356319427,0.0024746013805270195,0.00551610765978694,0.19078126549720764,0.03564453125,0.7110411524772644,0.0020629093050956726,0.22748397290706635,0.19078125059604645,-0.25078168602924233,1.5,local_only,False,0.5845910906791687,structured_gap__local_only__a1.5__f0,not_run,132,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.16480697691440582,0.15445968508720398,0.04638671875,59.66384506225586,56.5359001159668,4.087434768676758,0.16616782546043396,0.19026505947113037,0.17787598073482513,0.004358451813459396,0.006698307581245899,0.19078126549720764,0.0615234375,0.7241238355636597,0.004077063407748938,0.06764507293701172,0.19078125059604645,-0.032770347353369304,0.5,uncontrolled,False,0.5845910906791687,structured_gap__uncontrolled__a0.5__f4,not_run,132,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.23272013664245605,0.21836046874523163,0.0703125,61.840721130371094,56.81382751464844,4.122944355010986,0.2397359311580658,0.278270423412323,0.26111140847206116,0.006537307519465685,0.011065522208809853,0.19078126549720764,0.0947265625,0.6605190634727478,0.006023871712386608,0.10852059721946716,0.19078125059604645,0.1785891018395929,0.5,near_zero,False,0.5845910906791687,structured_gap__near_zero__a0.5__f4,not_run,132,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.22463415563106537,0.21151117980480194,0.05517578125,62.74242401123047,57.267024993896484,4.1371259689331055,0.25980085134506226,0.3273252248764038,0.30809053778648376,0.008334098383784294,0.013103879988193512,0.19078126549720764,0.130859375,0.617652416229248,0.007058784365653992,0.23527055978775024,0.19078125059604645,0.29788305112771885,0.5,far_cap,False,0.5845910906791687,structured_gap__far_cap__a0.5__f4,not_run,132,False,False,False,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.23565609753131866,0.22104910016059875,0.0615234375,62.76353073120117,57.04153823852539,4.137588024139404,0.2614762485027313,0.32170403003692627,0.3019033670425415,0.00790262408554554,0.012088858522474766,0.19078126549720764,0.11865234375,0.6245516538619995,0.006857934407889843,0.19561834633350372,0.19078125059604645,0.28217198871051413,0.5,budget_matched_global,False,0.5845910906791687,structured_gap__budget_matched_global__a0.5__f4,not_run,132,False,False,False,formal_persistent_drift_or_inconclusive
8000,optimal_group_covered,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.6338521838188171,0.7160453200340271,0.9091796875,50.49028015136719,48.3611946105957,3.918487071990967,0.7164256572723389,0.6346800327301025,0.7168060541152954,0.055099740624427795,0.15968309342861176,0.19078126549720764,0.9150390625,0.1781674176454544,0.05503994971513748,0.034853920340538025,0.19078125059604645,1.0,0.0,positive_only,False,0.7168060541152954,optimal_group_covered__positive_only__a0__f0,not_run,133,False,False,False,formal_persistent_drift_or_inconclusive
8000,optimal_group_covered,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.37238094210624695,0.359108030796051,0.2421875,63.6889762878418,55.78900909423828,4.151443958282471,0.3585178256034851,0.37123191356658936,0.3579275906085968,0.014994720928370953,0.017697719857096672,0.19078126549720764,0.23974609375,0.5668929815292358,0.015025670640170574,0.04916845262050629,0.19078125059604645,0.3177537042512709,0.5,local_only,False,0.7168060541152954,optimal_group_covered__local_only__a0.5__f0,not_run,133,False,False,False,formal_terminal_plateau
8000,optimal_group_covered,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.0559353232383728,0.05278225243091583,0.01611328125,63.03114318847656,57.61753845214844,4.141819000244141,0.05286601185798645,0.05610152333974838,0.052949775010347366,0.0015250042779371142,0.002272226382046938,0.19078126549720764,0.013671875,0.6411635875701904,0.001520344172604382,0.042933139950037,0.19078125059604645,-0.2620247058108334,1.5,local_only,False,0.7168060541152954,optimal_group_covered__local_only__a1.5__f0,not_run,133,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.6124280095100403,0.7180256247520447,0.8876953125,51.536598205566406,48.3873291015625,3.9363579750061035,0.6493713855743408,0.20449821650981903,0.580717146396637,0.018536662682890892,0.6048771142959595,0.19078126549720764,0.064453125,0.01655658148229122,0.03596435487270355,1.148860216140747,0.19078125059604645,1.0,0.0,positive_only,False,0.580717146396637,structured_gap__positive_only__a0__f0,not_run,133,False,False,False,formal_terminal_plateau
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.44757550954818726,0.4390217363834381,0.47607421875,60.509666442871094,52.63982009887695,4.099494457244873,0.5938034057617188,0.6117140054702759,0.7485851049423218,0.03027917817234993,0.27863141894340515,0.19078126549720764,0.77001953125,0.08021195232868195,0.025110391899943352,1.0308096408843994,0.19078125059604645,1.4305014407970849,0.5,local_only,False,0.580717146396637,structured_gap__local_only__a0.5__f0,not_run,133,False,False,False,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.06273519992828369,0.059101931750774384,0.01708984375,61.88788986206055,57.272056579589844,4.123355865478516,0.06919921189546585,0.0841740071773529,0.07929648458957672,0.002227251650765538,0.003295119386166334,0.19078126549720764,0.0234375,0.6851075887680054,0.0019511007703840733,0.1572604775428772,0.19078125059604645,-0.28590541770734,1.5,local_only,False,0.580717146396637,structured_gap__local_only__a1.5__f0,not_run,133,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.17107628285884857,0.1595993936061859,0.0654296875,60.08808898925781,56.261749267578125,4.09404182434082,0.1724829375743866,0.1984342336654663,0.1853664517402649,0.004560863599181175,0.006710809655487537,0.19078126549720764,0.08349609375,0.7078006267547607,0.0042563010938465595,0.0814044326543808,0.19078125059604645,-0.013886420876306368,0.5,uncontrolled,False,0.580717146396637,structured_gap__uncontrolled__a0.5__f4,not_run,133,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.2183178812265396,0.20500801503658295,0.0966796875,61.23981475830078,56.50149917602539,4.112945556640625,0.22296009957790375,0.2556934356689453,0.24091218411922455,0.00608203187584877,0.01158625353127718,0.19078126549720764,0.119140625,0.6691843271255493,0.005650415550917387,0.11426784098148346,0.19078125059604645,0.12856195358679104,0.5,near_zero,False,0.580717146396637,structured_gap__near_zero__a0.5__f4,not_run,133,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.24089737236499786,0.22623993456363678,0.09521484375,63.01416015625,57.520084381103516,4.141510963439941,0.2687041163444519,0.33028027415275574,0.3111683428287506,0.008805446326732635,0.012718399986624718,0.19078126549720764,0.16943359375,0.6139794588088989,0.007626638747751713,0.20876561105251312,0.19078125059604645,0.3087355722532052,0.5,far_cap,False,0.580717146396637,structured_gap__far_cap__a0.5__f4,not_run,133,False,False,False,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.2916839122772217,0.27422893047332764,0.14501953125,63.722164154052734,57.45550537109375,4.1527204513549805,0.31613755226135254,0.3796342611312866,0.3580462336540222,0.009821318089962006,0.015923064202070236,0.19078126549720764,0.24462890625,0.5685181617736816,0.008709173649549484,0.2076672613620758,0.19078125059604645,0.4289550573571219,0.5,budget_matched_global,False,0.580717146396637,structured_gap__budget_matched_global__a0.5__f4,not_run,133,False,False,False,formal_persistent_drift_or_inconclusive
8000,optimal_group_covered,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.6397049427032471,0.7164420485496521,0.93212890625,51.21851348876953,48.35535430908203,3.927751302719116,0.7161858081817627,0.6392562985420227,0.7159295082092285,0.05634847283363342,0.15041877329349518,0.19078126549720764,0.9345703125,0.17691686749458313,0.05635019764304161,0.03189438581466675,0.19078125059604645,1.0,0.0,positive_only,False,0.7159295082092285,optimal_group_covered__positive_only__a0__f0,not_run,134,False,False,False,formal_persistent_drift_or_inconclusive
8000,optimal_group_covered,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.3933084011077881,0.3770030438899994,0.185546875,64.93775177001953,56.411163330078125,4.171335697174072,0.3791613280773163,0.39701783657073975,0.38131964206695557,0.016492733731865883,0.015655413269996643,0.19078126549720764,0.1943359375,0.5504955053329468,0.016387512907385826,0.04838366061449051,0.19078125059604645,0.3628277904649388,0.5,local_only,False,0.7159295082092285,optimal_group_covered__local_only__a0.5__f0,not_run,134,False,False,False,formal_terminal_plateau
8000,optimal_group_covered,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.04823088273406029,0.046757567673921585,0.013671875,62.76482391357422,57.67042541503906,4.137973308563232,0.047006960958242416,0.04847041517496109,0.047256357967853546,0.0012528913794085383,0.004686359316110611,0.19078126549720764,0.01220703125,0.675895094871521,0.0012470147339627147,0.04582824558019638,0.19078125059604645,-0.27330360430827877,1.5,local_only,False,0.7159295082092285,optimal_group_covered__local_only__a1.5__f0,not_run,134,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.6159975528717041,0.7148542404174805,0.89501953125,51.61491012573242,48.36576843261719,3.9363489151000977,0.6461871862411499,0.1940496265888214,0.5775202512741089,0.017511308193206787,0.6158673763275146,0.19078126549720764,0.04931640625,0.015311796218156815,0.03594541922211647,1.184625506401062,0.19078125059604645,1.0,0.0,positive_only,False,0.5775202512741089,structured_gap__positive_only__a0__f0,not_run,134,False,False,False,formal_terminal_plateau
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.42977485060691833,0.4152810871601105,0.37109375,61.297664642333984,52.536373138427734,4.112265586853027,0.5880009531974792,0.6105257272720337,0.7607207894325256,0.03095836192369461,0.29900336265563965,0.19078126549720764,0.78759765625,0.062209464609622955,0.024990901350975037,1.0856391191482544,0.19078125059604645,1.4737058969899144,0.5,local_only,False,0.5775202512741089,structured_gap__local_only__a0.5__f0,not_run,134,False,False,False,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,0.0,8.0,8.0,0.054039377719163895,0.05190537869930267,0.01611328125,61.25513458251953,57.337608337402344,4.113569259643555,0.0639275386929512,0.07932287454605103,0.07594969123601913,0.0019764197058975697,0.005527903325855732,0.19078126549720764,0.02099609375,0.7277060151100159,0.0016550830332562327,0.168866828083992,0.19078125059604645,-0.29692267520045573,1.5,local_only,False,0.5775202512741089,structured_gap__local_only__a1.5__f0,not_run,134,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.17040790617465973,0.1589391976594925,0.05810546875,59.775718688964844,56.38270950317383,4.089150905609131,0.17304585874080658,0.19965696334838867,0.18715249001979828,0.004588901065289974,0.00787951797246933,0.19078126549720764,0.07177734375,0.7097172737121582,0.004263651557266712,0.10110669583082199,0.19078125059604645,-0.009383009241025161,0.5,uncontrolled,False,0.5775202512741089,structured_gap__uncontrolled__a0.5__f4,not_run,134,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.2127770632505417,0.19904251396656036,0.07080078125,61.191139221191406,56.755897521972656,4.112488269805908,0.22079229354858398,0.2595154941082001,0.2425420731306076,0.006105916108936071,0.008670983836054802,0.19078126549720764,0.095703125,0.671646773815155,0.00555348489433527,0.11755888909101486,0.19078125059604645,0.13383912544896445,0.5,near_zero,False,0.5775202512741089,structured_gap__near_zero__a0.5__f4,not_run,134,False,False,True,formal_persistent_drift_or_inconclusive
8000,structured_gap,D-U1-E6-CONDITIONAL-GAP-01,4.0,8.0,8.0,0.2248694896697998,0.21138866245746613,0.0703125,62.946022033691406,57.39841842651367,4.140419960021973,0.269182413816452,0.3471924066543579,0.3269761800765991,0.009015142917633057,0.01376368198543787,0.19078126549720764,0.16650390625,0.5983558893203735,0.007430330850183964,0.27847057580947876,0.19078125059604645,0.352162361665701,0.5,far_cap,False,0.5775202512741089,structured_gap__far_cap__a0.5__f4,not_run,134,False,False,False,formal_persistent_drift_or_inconclusive
