task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean
graph_color,exponential,0.5108256237659907,4000,0.996875,0.9827999999999999
graph_color,exponential,0.55,4000,0.9953125,0.9812
graph_color,exponential,0.6931471805599453,4000,0.9890625,0.9800000000000001
graph_color,exponential,0.75,4000,0.9953125,0.9852000000000001
graph_color,exponential,0.9,4000,0.9984375,0.9856
graph_color,exponential,1.0498221244986778,4000,0.9984375,0.9868
graph_color,exponential,1.2,4000,0.9984375,0.9924
graph_color,exponential,1.3862943611198906,4000,0.996875,0.9884000000000001
graph_color,exponential,1.6,4000,1.0,0.984
graph_color,exponential,1.8,4000,0.9984375,0.9968
graph_color,exponential,2.0794415416798357,4000,0.9984375,0.99
graph_color,exponential,2.6,4000,1.0,0.9892
graph_color,exponential,3.5,4000,0.996875,0.9864
graph_color,exponential,6.0,4000,0.9921875,0.9756
wikisql,positive_only,,4000,0.865625,0.784
wikisql,positive_only,,5000,0.84375,0.7696
wikisql,positive_only,,6000,0.8625,0.7712000000000001
wikisql,positive_only,,7000,0.8546875,0.7824
wikisql,exponential,0.10536051565782628,4000,0.3953125,0.22640000000000002
wikisql,exponential,0.2876820724517809,4000,0.6046875,0.524
wikisql,exponential,0.5108256237659907,4000,0.7703125,0.696
wikisql,exponential,0.6931471805599453,4000,0.75625,0.7016
wikisql,exponential,1.0498221244986778,4000,0.76875,0.7068
wikisql,exponential,1.3862943611198906,4000,0.7921875,0.7396
wikisql,exponential,1.4,4000,0.8,0.7243999999999999
wikisql,exponential,1.55,4000,0.7859375,0.7303999999999999
wikisql,exponential,1.7,4000,0.765625,0.7343999999999999
wikisql,exponential,1.85,4000,0.778125,0.7351999999999999
wikisql,exponential,2.0,4000,0.7859375,0.7404
wikisql,exponential,2.0794415416798357,4000,0.7890625,0.7388
wikisql,exponential,2.2,4000,0.7921875,0.7452
wikisql,exponential,2.35,4000,0.7796875,0.7472
wikisql,exponential,2.5,4000,0.784375,0.7375999999999999
wikisql,exponential,2.9,4000,0.7765625,0.7452
wikisql,exponential,3.4,4000,0.8015625,0.746
wikisql,exponential,3.8,4000,0.8171875,0.7636000000000001
wikisql,exponential,4.4,4000,0.8125,0.7652
wikisql,exponential,5.2,4000,0.809375,0.7552
