actor_update_mode,advantage_estimator,best_mean,control,critic_audit_failures,dataset,exp_coefficient,final_mean,final_seed_std,late_window_mean_800k_1m,late_window_seed_std,nan_inf_numerical_failures,paired_seed_set_complete,score_at_500k_mean,seeds_observed,support_or_variance_boundary_events
a2c,gae,83.69101667357177,c=64,0,walker2d-medium-v2,64.0,79.47910478432404,1.3570290410493182,73.62378223292197,5.812780608929892,0,True,77.35807770503284,"[200, 201, 202, 203]",0
a2c,gae,83.64867763328377,c=128,0,walker2d-medium-v2,128.0,78.011030832986,3.140743048622926,74.00361660813097,5.328668546257283,0,True,79.56308871370295,"[200, 201, 202, 203]",0
a2c,gae,84.25950771892542,c=256,0,walker2d-medium-v2,256.0,77.99555222528654,5.158526304439722,76.30972767469319,3.2669336237772777,0,True,76.42912798743441,"[200, 201, 202, 203]",0
ppo_clip_k4,gae,83.42320472589532,positive_only,0,walker2d-medium-v2,,73.14314632392836,6.013748825707318,75.49590640081732,5.221117092398643,0,True,78.1181009387609,"[200, 201, 202, 203]",0
ppo_clip_k4,gae,82.82005949002622,c=64,0,walker2d-medium-v2,64.0,72.12987297908668,6.772587798393487,72.04745111317206,4.634016685226739,0,True,75.67008613195878,"[200, 201, 202, 203]",0
ppo_clip_k4,gae,83.11573124962925,c=128,0,walker2d-medium-v2,128.0,80.34526854292851,2.68026630451184,72.97728219990547,3.983815536276079,0,True,75.31597272582087,"[200, 201, 202, 203]",0
ppo_clip_k4,gae,83.24511490001925,c=256,0,walker2d-medium-v2,256.0,77.21017031338059,6.91868488742909,76.5082771356556,4.034409824837368,0,True,80.60420773241353,"[200, 201, 202, 203]",0
a2c,td,82.1265923780474,positive_only,0,walker2d-medium-v2,,69.41682871334277,9.530799063361638,65.1405992324978,9.637696040056994,0,True,70.06197745384301,"[200, 201, 202, 203]",0
a2c,td,80.63468580325181,c=64,0,walker2d-medium-v2,64.0,63.55608321983208,17.270067781084258,63.34895025625013,6.924502093807846,0,True,63.8564685829359,"[200, 201, 202, 203]",0
a2c,td,81.91138037458748,c=128,0,walker2d-medium-v2,128.0,66.57778653266567,10.41536008143355,69.77835058681038,4.171444212054687,0,True,67.7325983333514,"[200, 201, 202, 203]",0
a2c,td,81.48717249487895,c=256,0,walker2d-medium-v2,256.0,63.48339868171979,10.292617223529946,61.90709850744381,5.076231213831227,0,True,57.684638448749176,"[200, 201, 202, 203]",0
ppo_clip_k4,td,81.07505150002353,positive_only,0,walker2d-medium-v2,,54.73946971951617,15.871438617688876,61.67012967424664,4.91877871624115,0,True,61.68969378164181,"[200, 201, 202, 203]",0
