task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean
wikisql,reciprocal_linear,121.0,4000,0.8515625,0.774
wikisql,reciprocal_quadratic,961.0,4000,0.8328125,0.7768
wikisql,reciprocal_quadratic,2401.0,4000,0.834375,0.7784000000000001
wikisql,reciprocal_quadratic,6561.0,4000,0.8359375,0.7804
wikisql,reciprocal_quadratic,14641.0,4000,0.8265625,0.7788
word_sorting,reciprocal_linear,31.0,5000,0.5921875,0.4519999999999999
word_sorting,reciprocal_linear,49.0,5000,0.5609375,0.4555999999999999
word_sorting,reciprocal_linear,81.0,5000,0.621875,0.4664
word_sorting,reciprocal_linear,121.0,5000,0.6421875,0.4548
word_sorting,reciprocal_quadratic,961.0,5000,0.6375,0.48
word_sorting,reciprocal_quadratic,2401.0,5000,0.6265625,0.474
word_sorting,reciprocal_quadratic,6561.0,5000,0.640625,0.4728
word_sorting,reciprocal_quadratic,14641.0,5000,0.6546875,0.4784
spiral_matrix,reciprocal_linear,31.0,5000,0.9515625,0.9484
spiral_matrix,reciprocal_linear,49.0,5000,0.8203125,0.7999999999999999
spiral_matrix,reciprocal_linear,81.0,5000,0.9453125,0.928
spiral_matrix,reciprocal_linear,121.0,5000,0.946875,0.9012
spiral_matrix,reciprocal_quadratic,961.0,5000,0.9984375,0.998
spiral_matrix,reciprocal_quadratic,2401.0,5000,1.0,0.9996
spiral_matrix,reciprocal_quadratic,6561.0,5000,1.0,0.9996
spiral_matrix,reciprocal_quadratic,14641.0,5000,1.0,1.0
mini_sudoku,reciprocal_linear,31.0,5000,0.8671875,0.7976
mini_sudoku,reciprocal_linear,49.0,5000,0.9,0.8492
mini_sudoku,reciprocal_linear,81.0,5000,0.940625,0.8832000000000001
mini_sudoku,reciprocal_linear,121.0,5000,0.928125,0.8695999999999999
mini_sudoku,reciprocal_quadratic,961.0,5000,0.940625,0.8868
mini_sudoku,reciprocal_quadratic,2401.0,5000,0.9625,0.8892000000000001
mini_sudoku,reciprocal_quadratic,6561.0,5000,0.9671875,0.89
mini_sudoku,reciprocal_quadratic,14641.0,5000,0.9640625,0.89
maze,reciprocal_linear,31.0,5000,0.771875,0.3212
maze,reciprocal_linear,49.0,5000,0.765625,0.32
maze,reciprocal_linear,81.0,5000,0.7828125,0.3292
maze,reciprocal_linear,121.0,5000,0.8015625,0.3276
maze,reciprocal_quadratic,961.0,5000,0.78125,0.3344
