step,target_probability,target_surprisal,entropy,direct_logit_score_norm,target_logit_gap
4600,0.7237090377388675,0.3233658489486135,0.7278124406116264,0.3580673511883903,-1.1865348941742884
4700,0.714164913853876,0.3366413715282885,0.7404843027707508,0.3707941053023377,-1.135932990909243
4800,0.7040618973498258,0.35088900431712816,0.7533476446397357,0.3842859807245775,-1.083483270205933
4900,0.6933605902986602,0.36620508279685626,0.7663665299650387,0.3985988943556782,-1.0290731160349118
5000,0.6820193581507951,0.382697237156174,0.7794954280081543,0.4137922614766959,-0.9725816659214587
5100,0.6699944988359668,0.40048577732342,0.7926774375076395,0.4299288419979462,-0.913879313489852
5200,0.6572405349732943,0.41970521642936837,0.8058422663822424,0.44707442902133043,-0.8528272421628689
5300,0.6437106671308865,0.44050592847335424,0.8189039663343538,0.4652973279985882,-0.7892770158790094
5400,0.629357433963067,0.46305592618589286,0.831758439750275,0.48466756325981214,-0.7230702608820032
5500,0.614133633137346,0.48754273096974904,0.8442807640362353,0.50525573651882,-0.6540384825449348
5600,0.5979935642985815,0.5141752871319223,0.856322418718787,0.5271314502993727,-0.5820030728423977
5700,0.5808946603323701,0.543185846085856,0.867708556360042,0.5503612000794876,-0.506775577284756
5800,0.562799573469244,0.574831711614891,0.8782355322313142,0.575005635493109,-0.42815830432206714
5900,0.5436787748618298,0.6093966939188733,0.8876690008745266,0.60111609780454,-0.34594537430081207
6000,0.5235137055898982,0.6471920683267691,0.8957429980332106,0.628730364384209,-0.25992431712356034
6100,0.5023004780842067,0.6885567764364123,0.9021605460909952,0.6578675788734333,-0.16987833491342919
6200,0.4800540639448987,0.7338565482043062,0.9065964333865983,0.6885224266280862,-0.07558934412769402
6300,0.4568128125528922,0.7834815725378648,0.9087028938161621,0.7206587361568408,0.023158104569491744
6400,0.4326430240319653,0.8378423158731657,0.9081189103562821,0.7542028512908979,0.12657196683082783
