step,target_probability,target_surprisal,entropy,direct_logit_score_norm,target_logit_gap
4700,3.7266954392327983e-07,14.802573751204916,0.007095782131043763,1.4135892882834338,14.801690292232696
4800,3.051672972807795e-07,15.002405695044047,0.0065014231450051495,1.4136485633066178,15.001606172466055
4900,2.498878563027224e-07,15.202253594513044,0.005955868528799291,1.413702221514266,15.201530045295314
5000,2.0461903799568735e-07,15.402115937925458,0.005455221589738301,1.4137507930943567,15.401461152377092
5100,1.675487712799855e-07,15.601991356242769,0.004995883764735522,1.413794758559609,15.601398807127044
5200,1.3719279882679226e-07,15.801878609717289,0.004574533411193989,1.4138345533347676,15.80134238796445
5300,1.1233542494275256e-07,16.00177657576708,0.0041881058969062065,1.4138705719324023,16.001291332186486
5400,9.19809599875795e-08,16.2016842379726,0.003833774939428537,1.4139031717519146,16.201245130414577
5500,7.531393375031304e-08,16.40160067609409,0.0035089351422662837,1.4139326765339395,16.401203321560395
5600,6.166649668389701e-08,16.60152505701734,0.0032111856732193723,1.4139593794999181,16.601165488263593
5700,5.04917123232828e-08,16.801456626543253,0.002938315029208082,1.4139835462043073,16.801131252757674
5800,4.134167764218229e-08,17.0013947019443,0.0026882868316247754,1.4140054171247372,17.001100273124475
5900,3.384959963712159e-08,17.201338665217257,0.002459226596626306,1.4140252100133677,17.201072239900935
6000,2.77151135515336e-08,17.401287956968346,0.002249409425632559,1.4140431220307945,17.40104687300557
6100,2.2692257024887074e-08,17.601242070872207,0.002057248562564593,1.4140593316820615,17.601023918954695
6200,1.8579620134094914e-08,17.801200548651586,0.001881284765904491,1.4140740005726802,17.801003148341334
6300,1.5212277946330113e-08,18.001162975529432,0.001720176445455856,1.4140872750010234,18.00098435355227
6400,1.245518324083956e-08,18.201128976109295,0.0015726905156328026,1.4140992874020377,18.200967346700793
6500,1.0197755288355082e-08,18.4010982106442,0.001437693919176955,1.414110157655906,18.40095195775504
