seed,protocol,embedding_mode,concentration_mode,method,alpha,far_lambda,completed_steps,terminal_class,task_performance_collapse,support_or_temperature_boundary,nan_inf_numerical_failure,final_hidden_optimal_probability,final_positive_support_probability,final_expected_semantic_reward,final_normalized_semantic_extrapolation,final_entropy_mean,final_effective_support_mean,final_effective_support_p05,final_concentration_mean,final_concentration_min,final_concentration_max
11,E6-C,shuffled,learnable,far_cap,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.02365114539861679,0.12543529272079468,0.542887806892395,-0.40901869535446167,3.6087393760681152,39.23307800292969,17.655736923217773,2.4933078289031982,0.2386048287153244,9.546598434448242
12,E6-A,aligned,fixed,positive_only,0.0,0.0,8000,formal_terminal_plateau,False,False,False,0.13842391967773438,0.6001160740852356,0.8494820594787598,-0.20998317003250122,2.2338860034942627,9.56293773651123,6.541253089904785,8.0,8.0,8.0
12,E6-A,aligned,fixed,local_only,0.25,0.0,8000,formal_terminal_plateau,False,False,False,0.19006501138210297,0.5353657603263855,0.8729032874107361,0.3133302927017212,2.205144166946411,9.332324028015137,6.027615070343018,8.0,8.0,8.0
12,E6-A,aligned,fixed,local_only,0.5,0.0,8000,formal_terminal_plateau,False,False,False,0.1927952766418457,0.3696953058242798,0.8673595190048218,0.904046893119812,2.249953269958496,9.79313850402832,5.9235734939575195,8.0,8.0,8.0
12,E6-A,aligned,fixed,local_only,0.75,0.0,8000,formal_terminal_plateau,False,False,False,0.12105966359376907,0.17236056923866272,0.8178747892379761,1.4362282752990723,2.282323122024536,10.141658782958984,6.0698018074035645,8.0,8.0,8.0
12,E6-B,aligned,learnable,positive_only,0.0,0.0,8000,formal_terminal_plateau,False,False,False,0.14800582826137543,0.6727465987205505,0.8618482351303101,-0.2076464593410492,1.9509077072143555,7.160235404968262,5.28421688079834,10.929072380065918,4.769850730895996,18.723196029663086
12,E6-B,aligned,learnable,far_zero,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.18959195911884308,0.6941653490066528,0.8816916346549988,-0.008522458374500275,1.685655117034912,5.55017614364624,3.6957716941833496,14.719717979431152,6.03801155090332,27.778762817382812
12,E6-B,aligned,learnable,uncontrolled,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.23659276962280273,0.7551587820053101,0.9026886820793152,-0.03657645359635353,0.10315468907356262,1.138136863708496,1.0,492.63433837890625,400.2070617675781,526.7208251953125
12,E6-B,aligned,learnable,near_zero,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.17565779387950897,0.8087546825408936,0.8876966238021851,-0.17962652444839478,0.15602008998394012,1.211823582649231,1.0,421.0052490234375,59.807456970214844,502.120361328125
12,E6-B,aligned,learnable,far_cap,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.23779334127902985,0.7543345093727112,0.902637243270874,-0.03954724594950676,0.10095643997192383,1.1342291831970215,1.0,492.159423828125,400.421875,526.5731201171875
12,E6-B,aligned,learnable,budget_matched_global,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.2403612732887268,0.7514381408691406,0.9034079313278198,-0.03501063212752342,0.10323838144540787,1.137312889099121,1.0,492.17205810546875,398.2795715332031,526.8751831054688
12,E6-C,aligned,learnable,positive_only,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.14800582826137543,0.6727465987205505,0.8618482351303101,-0.2076464593410492,1.9509077072143555,7.160235404968262,5.28421688079834,10.929072380065918,4.769850730895996,18.723196029663086
12,E6-C,aligned,learnable,far_zero,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.18959195911884308,0.6941653490066528,0.8816916346549988,-0.008522458374500275,1.685655117034912,5.55017614364624,3.6957716941833496,14.719717979431152,6.03801155090332,27.778762817382812
12,E6-C,aligned,learnable,uncontrolled,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.23659276962280273,0.7551587820053101,0.9026886820793152,-0.03657645359635353,0.10315468907356262,1.138136863708496,1.0,492.63433837890625,400.2070617675781,526.7208251953125
12,E6-C,aligned,learnable,far_cap,0.1,0.05,8000,support_or_temperature_boundary,False,True,False,0.23779334127902985,0.7543345093727112,0.902637243270874,-0.03954724594950676,0.10095643997192383,1.1342291831970215,1.0,492.159423828125,400.421875,526.5731201171875
12,E6-C,shuffled,learnable,positive_only,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.02875390835106373,0.12137295305728912,0.533073365688324,0.14516033232212067,3.737701654434204,42.93016052246094,26.241268157958984,2.1000170707702637,0.5059634447097778,4.7492570877075195
12,E6-C,shuffled,learnable,far_zero,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.03022587113082409,0.12919220328330994,0.5363787412643433,0.12903662025928497,3.621060848236084,38.96965408325195,19.230484008789062,2.477003335952759,0.22354359924793243,7.862800598144531
12,E6-C,shuffled,learnable,uncontrolled,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.031124288216233253,0.1379546970129013,0.5421167612075806,0.1294034719467163,3.511510133743286,35.593849182128906,14.659626960754395,2.8725991249084473,0.30648860335350037,9.892630577087402
12,E6-C,shuffled,learnable,far_cap,0.1,0.05,8000,formal_terminal_plateau,False,False,False,0.031124264001846313,0.13795442879199982,0.5421168804168701,0.12940017879009247,3.511514663696289,35.5940055847168,14.659427642822266,2.872581720352173,0.30650219321250916,9.892516136169434
